"","x"
"108","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"109","Dans votre ménage, combien y a-t-il d'ordinateurs portables ?"
"110","Vous personnellement, combien en utilisez-vous ? "
"111","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"112","Dans votre ménage, combien y a-t-il d'ordinateurs fixes ?"
"113","Vous personnellement, combien en utilisez-vous ? "
"114","Et vous personnellement, à quelle fréquence l’utilisez vous ? "
"115","En général, combien de soirées passez-vous chez vous sur une semaine ?"
"116","Considérez-vous que la soirée d’hier était une soirée inhabituelle ?"
"117","Habituellement, prenez-vous votre repas du soir en regardant un écran : "
"118","[Avec des amis] 	Habituellement, vous prenez votre repas du soir...	(Plusieurs réponses possibles)"
"119","[Avec votre famille ou conjoint(e)] 	Habituellement, vous prenez votre repas du soir...	(Plusieurs réponses possibles)"
"120","[Seul(e)] 	Habituellement, vous prenez votre repas du soir...	(Plusieurs réponses possibles)"
"121","Vous êtes : "
"122","Quel âge avez-vous ? "
"123","Quel est le nom de votre commune ?"
"124","Quel est le diplôme le plus élevé que vous ayez obtenu ?"
"125","[Autre] Quel est le diplôme le plus élevé que vous ayez obtenu ?"
"126","Actuellement, quelle est votre situation ?"
"127","[Autre] Actuellement, quelle est votre situation ?"
"128","Quelle est votre profession ou la dernière que vous ayez exercée ? "
"129","Qui compose votre foyer ?"
"130","[Autre] Qui compose votre foyer ?"
"131","Actuellement, quelle est la situation de votre conjoint ? "
"132","[Autre] Actuellement, quelle est la situation de votre conjoint ? "
"133","Quelle est cette profession ? "
"134","Quel est le diplôme le plus élevé de votre conjoint ?"
"135","[Autre] Quel est le diplôme le plus élevé de votre conjoint ?"
"136","Combien d’enfants vivent avec vous au moins la moitié du temps? "
"137","Quel âge a votre enfant ?"
"138","Quel âge a le plus jeune ?"
"139","Quel âge a le plus âgé?"
"140","Quel est le revenu mensuel moyen de votre ménage ? (en revenu net)"
"141","Avez-vous un commentaire à ajouter ?"
"142",NA
"143",NA
"144","refurl"
"145",""
"146","[Je souhaite recevoir les résultats de l'enquête] Si vous le souhaitez, cochez cette case pour recevoir les résultats de l’enquête quand les étudiants auront fini de les analyser."
"147",NA
